station_id,station_name,station_address,station_position,station_externalid,url
42734,15046 - GEORGES BRASSENS,42 RUE DES MORILLONS - 75015 PARIS,"(48.8322073451848,2.30232873769119)",15046,http://velibs.github.io/data/png/42734.png
43015,21307 - CRESSON 1 (ISSY LES MOULINEAUX),FACE 36 AVENUE VICTOR CRESSON - 92130 ISSY LES MOULINEAUX,"(48.8226783671367,2.26863109328801)",21307,http://velibs.github.io/data/png/43015.png
41896,13036 - TOLBIAC NATIONALE,86 RUE TOLBIAC - 75013 PARIS,"(48.8269001997157,2.36517760348358)",13036,http://velibs.github.io/data/png/41896.png
41960,20045 - LOUIS GANNE,3-5 RUE LOUIS GANNE - 75020 PARIS,"(48.8634696412222,2.40967010021591)",20045,http://velibs.github.io/data/png/41960.png
41901,13053 - CHEVALERET TOLBIAC,56 RUE CHEVALERET - 75013 PARIS,"(48.8294101345956,2.37593455801393)",13053,http://velibs.github.io/data/png/41901.png
41897,42014 - CACHIN (IVRY),PLACE MARCEL CACHIN - 94200 IVRY SUR SEINE,"(48.8141405375024,2.39090936806714)",42014,http://velibs.github.io/data/png/41897.png
41964,09113 - BLEUE,5 RUE BLEUE - 75009 PARIS,"(48.8758218550307,2.34730323030246)",9113,http://velibs.github.io/data/png/41964.png
42979,12013 - RUE MONTGALLET,FACE 39 RUE MONTGALLET - 75012 PARIS,"(48.8443126084401,2.38959522721585)",12013,http://velibs.github.io/data/png/42979.png
43060,08040 - CHAMPS ELYSEES CHARRON,65 RUE PIERRE CHARRON - 75008 PARIS,"(48.8700703391143,2.30431544671583)",8040,http://velibs.github.io/data/png/43060.png
41958,15027 - GIDE,4 RUE ANDRE GIDE  - 75015 PARIS,"(48.8365662244334,2.31270712109741)",15027,http://velibs.github.io/data/png/41958.png
43062,09028 - MONCEY BLANCHE,4 RUE MONCEY - 75009 PARIS,"(48.8801539858598,2.33107516002003)",9028,http://velibs.github.io/data/png/43062.png
43070,41102 - RENAN (ARCUEIL),rue Ernest Renan / angle rue Vaucouleurs (A la sortie du RER B) - 94110 ARCUEIL,"(48.8088003949934,2.33468965466247)",41102,http://velibs.github.io/data/png/43070.png
43206,15019 - VAUGIRARD CAMBRONNE,3 RUE PAUL BARRUEL - 75015 PARIS,"(48.8400577188391,2.30450742096121)",15019,http://velibs.github.io/data/png/43206.png
43210,18035 - PORTE MONTMARTRE,FACE 66 RUE RENE BINET - 75018 PARIS,"(48.8991359901418,2.33689345355729)",18035,http://velibs.github.io/data/png/43210.png
43209,15056 - BALARD,13 PLACE BALARD - 75015 PARIS,"(48.8365372894709,2.27871769701936)",15056,http://velibs.github.io/data/png/43209.png
43243,10019 - PARADIS,23 RUE PARADIS - 75010 PARIS,"(48.8750340562449,2.35218489482655)",10019,http://velibs.github.io/data/png/43243.png
43244,32004 - BAILLY (SAINT DENIS),AVENUE DU PRESIDENT WILSON/ RUE DE BAILLY - 93200 SAINT DENIS,"(48.915198642437,2.35750068368611)",32004,http://velibs.github.io/data/png/43244.png
43250,08050 - BOETIE PONTHIEU,116 RUE DE LA BOETIE - 75008 PARIS,"(48.8715127415192,2.30748756441945)",8050,http://velibs.github.io/data/png/43250.png
43160,20038 - LEON FRAPIE,6 RUE LEON FRAPIE - 75020 PARIS,"(48.87354903514,2.41100303588006)",20038,http://velibs.github.io/data/png/43160.png
43265,18014 - DOUDEAUVILLE LEON,26 RUE LEON - 75018 PARIS,"(48.8883242184522,2.3535733726386)",18014,http://velibs.github.io/data/png/43265.png
43266,09024 - LAFAYETTE TAITBOUT,27 RUE TAITBOUT - 75009 PARIS,"(48.8733858054295,2.33529683976619)",9024,http://velibs.github.io/data/png/43266.png
43271,08003 - GALILLE,63 RUE GALILEE - 75008 PARIS,"(48.8717051913931,2.29852826567981)",8003,http://velibs.github.io/data/png/43271.png
43272,08019 - EUROPE,03 RUE DE NAPLES - 75008 PARIS,"(48.8799571638376,2.32135967628095)",8019,http://velibs.github.io/data/png/43272.png
43310,20004 - PORTE DE VINCENNES BIS,10 RUE DU COMMANDANT L'HERMINIER - 75020 PARIS,"(48.8470644175254,2.41602296002108)",20004,http://velibs.github.io/data/png/43310.png
43318,20007 - BUZENVAL,52 RUE BUZENVAL - 75020 PARIS,"(48.8516172049987,2.40151359730767)",20007,http://velibs.github.io/data/png/43318.png
